datetime,query,statistics.volume,statistics.pos_sentiment,statistics.neg_sentiment,group
2019-04-23,#venezuela,63288,2017.3303999999237,9135.95400000056,%Y-%m-%d
2019-04-20,#flask,25,2.3854999999999995,0.9029,%Y-%m-%d
2019-04-21,#flask,20,3.9331,0,%Y-%m-%d
2019-04-22,#flask,46,10.651,1.7636000000000003,%Y-%m-%d
2019-04-23,#flask,22,2.9778999999999995,1.1230000000000002,%Y-%m-%d
2019-04-10,#althani,1,0.7003,0,%Y-%m-%d
2019-04-19,#althani,1,0,0,%Y-%m-%d
2019-04-19,#aludeid,2,0.4939,0,%Y-%m-%d
2019-04-22,#aludeid,1,0.5719,0,%Y-%m-%d
2019-04-23,#aludeid,1,0.5994,0,%Y-%m-%d
2019-04-09,#uae,94,12.207299999999996,14.205899999999998,%Y-%m-%d
2019-04-10,#uae,32,6.988000000000001,2.3914999999999997,%Y-%m-%d
2019-04-20,#uae,1941,382.1022999999998,263.6325999999998,%Y-%m-%d
2019-04-21,#uae,1694,322.2248000000002,240.42809999999977,%Y-%m-%d
2019-04-22,#uae,2825,655.5895000000011,222.40809999999988,%Y-%m-%d
2019-04-23,#uae,2911,674.9571999999994,336.91700000000077,%Y-%m-%d
2019-04-23,#althani,1,0,0.827,%Y-%m-%d
2019-04-24,venezuela,98606,3410.570200000016,12867.885500002893,%Y-%m-%d
2019-04-24,qatar world cup,37,10.026599999999998,8.314900000000002,%Y-%m-%d
2019-04-24,air italy,89,27.493399999999987,14.563499999999992,%Y-%m-%d
2019-04-24,federal shutdown,8,1.1669,1.886,%Y-%m-%d
2019-04-23,ted deutch,1,0,0.4588,%Y-%m-%d
2019-04-24,ted deutch,3,0,1.3679000000000001,%Y-%m-%d
2019-04-24,egypt,9640,1568.308999999985,989.328800000005,%Y-%m-%d
2019-04-24,egypt from us,31,11.9379,3.1252999999999997,%Y-%m-%d
2019-04-24,trump,577593,107441.63159994691,139095.53910000538,%Y-%m-%d
2019-04-24,qatar from russia,23,4.5627,5.536200000000002,%Y-%m-%d
2019-04-24,al jazeeera,1,0,0,%Y-%m-%d
2019-04-24,boeing qatar,3,1.3669,0.5106,%Y-%m-%d
2019-04-24,chungus,309,39.80249999999999,8.807699999999997,%Y-%m-%d
2019-04-24,saudi arabia,34773,3245.827999999909,13510.135200000399,%Y-%m-%d
2019-04-24,qatar airways,145,35.14039999999999,5.217900000000001,%Y-%m-%d
2019-04-24,terrorism finance,14,1.8676,6.1110999999999995,%Y-%m-%d
2019-04-24,qatar the world cup,30,8.556000000000001,7.6671000000000005,%Y-%m-%d
2019-04-24,jesse,7851,2439.5543000000234,599.8791000000024,%Y-%m-%d
2019-04-24,united arab emirates,660,228.70440000000067,108.34220000000008,%Y-%m-%d
2019-04-24,obama,104473,21865.49429999777,22227.534699998967,%Y-%m-%d
2019-04-24,terrorism,23037,1665.1552000000493,13934.26480000032,%Y-%m-%d
2019-04-24,flask,344,59.80049999999995,19.756100000000004,%Y-%m-%d
2019-04-24,qatar,6138,907.0066000000054,809.134,%Y-%m-%d
2019-04-24,al thani,311,165.10979999999935,3.7281,%Y-%m-%d
2019-04-24,uae,10797,1287.9070000000008,627.5487000000013,%Y-%m-%d
2019-04-24,al udeid,7,0.3182,4.3104000000000005,%Y-%m-%d
2019-04-24,terrorism financing,70,1.509,54.3729,%Y-%m-%d
2019-04-24,trupm,26,0,2.6936000000000004,%Y-%m-%d
2019-04-24,ontario,6084,1352.713299999995,1032.8354000000008,%Y-%m-%d
2019-04-24,blood money documentary qatar,1,0.4201,0,%Y-%m-%d
2019-04-24,"""al thani""",30,4.9857000000000005,1.1148,%Y-%m-%d
2019-04-24,qatar from poland,4,3.0024,0,%Y-%m-%d
2019-04-24,qatar terrorism,116,3.1322,55.2441,%Y-%m-%d
2019-04-24,qatar on the map,1,0,0,%Y-%m-%d
2019-04-24,world cup 2022,27,7.3077000000000005,5.4403,%Y-%m-%d
2019-04-24,poland,4695,923.7428999999953,576.7107999999997,%Y-%m-%d
2019-04-24,"""qatar blockade""",2,0,0.8398,%Y-%m-%d
2019-04-24,al jazeera,612,61.78080000000001,177.0831000000002,%Y-%m-%d
2019-04-24,qatar from saudi arabia,34,9.1293,7.506500000000001,%Y-%m-%d
2019-04-24,today,758899,240720.48400012494,90483.5449000093,%Y-%m-%d
2019-04-24,bad blood,506,51.959599999999995,234.7701000000001,%Y-%m-%d
2019-04-24,blood money qatar,33,2.8312000000000004,10.255500000000003,%Y-%m-%d
2019-04-24,qata,11,0.8585,1.1148,%Y-%m-%d
2019-04-24,namibia,970,237.36520000000013,81.14949999999999,%Y-%m-%d
2019-04-24,#obama,1369,245.72570000000104,190.5872000000001,%Y-%m-%d
2019-04-24,#terrorism,746,12.630399999999996,530.128799999998,%Y-%m-%d
2019-04-24,#flask,12,2.7129000000000003,0.8176,%Y-%m-%d
2019-04-24,#qatar,1330,164.94310000000004,103.53600000000023,%Y-%m-%d
2019-04-24,#unitedarabemirates,84,6.8536,11.251299999999997,%Y-%m-%d
2019-04-24,#qatarairways,38,3.8401000000000005,0.5267,%Y-%m-%d
2019-04-24,#uae,1306,309.4029999999998,131.5402,%Y-%m-%d
